time,fan
Wed Oct 28 07:02:29 AM CET 2020 ,		2935
Wed Oct 28 07:02:30 AM CET 2020 ,		2935
Wed Oct 28 07:02:30 AM CET 2020 ,		2958
Wed Oct 28 07:02:31 AM CET 2020 ,		2958
Wed Oct 28 07:02:31 AM CET 2020 ,		2944
Wed Oct 28 07:02:32 AM CET 2020 ,		2944
Wed Oct 28 07:02:32 AM CET 2020 ,		2941
Wed Oct 28 07:02:33 AM CET 2020 ,		2941
Wed Oct 28 07:02:33 AM CET 2020 ,		2929
Wed Oct 28 07:02:34 AM CET 2020 ,		2929
Wed Oct 28 07:02:34 AM CET 2020 ,		2907
Wed Oct 28 07:02:35 AM CET 2020 ,		2907
Wed Oct 28 07:02:35 AM CET 2020 ,		2927
Wed Oct 28 07:02:36 AM CET 2020 ,		2927
Wed Oct 28 07:02:36 AM CET 2020 ,		2915
Wed Oct 28 07:02:37 AM CET 2020 ,		2915
Wed Oct 28 07:02:37 AM CET 2020 ,		2897
Wed Oct 28 07:02:38 AM CET 2020 ,		2897
Wed Oct 28 07:02:38 AM CET 2020 ,		2857
Wed Oct 28 07:02:39 AM CET 2020 ,		2857
Wed Oct 28 07:02:39 AM CET 2020 ,		2721
Wed Oct 28 07:02:40 AM CET 2020 ,		2721
Wed Oct 28 07:02:40 AM CET 2020 ,		2729
Wed Oct 28 07:02:41 AM CET 2020 ,		2729
Wed Oct 28 07:02:41 AM CET 2020 ,		2798
Wed Oct 28 07:02:42 AM CET 2020 ,		2798
Wed Oct 28 07:02:42 AM CET 2020 ,		2880
Wed Oct 28 07:02:43 AM CET 2020 ,		2880
Wed Oct 28 07:02:44 AM CET 2020 ,		2889
Wed Oct 28 07:02:44 AM CET 2020 ,		2889
Wed Oct 28 07:02:45 AM CET 2020 ,		2866
Wed Oct 28 07:02:45 AM CET 2020 ,		2866
Wed Oct 28 07:02:46 AM CET 2020 ,		2882
Wed Oct 28 07:02:46 AM CET 2020 ,		2882
Wed Oct 28 07:02:47 AM CET 2020 ,		2884
Wed Oct 28 07:02:47 AM CET 2020 ,		2884
Wed Oct 28 07:02:48 AM CET 2020 ,		3224
Wed Oct 28 07:02:48 AM CET 2020 ,		3224
Wed Oct 28 07:02:49 AM CET 2020 ,		2997
Wed Oct 28 07:02:49 AM CET 2020 ,		2997
Wed Oct 28 07:02:50 AM CET 2020 ,		2893
Wed Oct 28 07:02:50 AM CET 2020 ,		2893
Wed Oct 28 07:02:51 AM CET 2020 ,		2876
Wed Oct 28 07:02:51 AM CET 2020 ,		2876
Wed Oct 28 07:02:52 AM CET 2020 ,		2880
Wed Oct 28 07:02:52 AM CET 2020 ,		2880
Wed Oct 28 07:02:53 AM CET 2020 ,		2773
Wed Oct 28 07:02:53 AM CET 2020 ,		2773
Wed Oct 28 07:02:54 AM CET 2020 ,		2658
Wed Oct 28 07:02:54 AM CET 2020 ,		2658
Wed Oct 28 07:02:55 AM CET 2020 ,		2619
Wed Oct 28 07:02:55 AM CET 2020 ,		2619
Wed Oct 28 07:02:56 AM CET 2020 ,		2614
Wed Oct 28 07:02:56 AM CET 2020 ,		2614
Wed Oct 28 07:02:57 AM CET 2020 ,		2650
Wed Oct 28 07:02:57 AM CET 2020 ,		2650
Wed Oct 28 07:02:58 AM CET 2020 ,		2687
Wed Oct 28 07:02:58 AM CET 2020 ,		2687
Wed Oct 28 07:02:59 AM CET 2020 ,		2704
Wed Oct 28 07:02:59 AM CET 2020 ,		2704
Wed Oct 28 07:03:00 AM CET 2020 ,		2724
Wed Oct 28 07:03:00 AM CET 2020 ,		2724
Wed Oct 28 07:03:01 AM CET 2020 ,		2765
Wed Oct 28 07:03:01 AM CET 2020 ,		2765
Wed Oct 28 07:03:02 AM CET 2020 ,		2765
Wed Oct 28 07:03:02 AM CET 2020 ,		2842
Wed Oct 28 07:03:03 AM CET 2020 ,		2842
Wed Oct 28 07:03:03 AM CET 2020 ,		2867
Wed Oct 28 07:03:04 AM CET 2020 ,		2867
Wed Oct 28 07:03:04 AM CET 2020 ,		2871
Wed Oct 28 07:03:05 AM CET 2020 ,		2871
Wed Oct 28 07:03:05 AM CET 2020 ,		2873
Wed Oct 28 07:03:06 AM CET 2020 ,		2873
Wed Oct 28 07:03:06 AM CET 2020 ,		2873
Wed Oct 28 07:03:07 AM CET 2020 ,		2873
Wed Oct 28 07:03:07 AM CET 2020 ,		2983
Wed Oct 28 07:03:08 AM CET 2020 ,		2983
Wed Oct 28 07:03:08 AM CET 2020 ,		3035
Wed Oct 28 07:03:09 AM CET 2020 ,		3035
Wed Oct 28 07:03:09 AM CET 2020 ,		3069
Wed Oct 28 07:03:10 AM CET 2020 ,		3069
Wed Oct 28 07:03:10 AM CET 2020 ,		3076
Wed Oct 28 07:03:11 AM CET 2020 ,		3076
Wed Oct 28 07:03:11 AM CET 2020 ,		3083
Wed Oct 28 07:03:12 AM CET 2020 ,		3083
Wed Oct 28 07:03:12 AM CET 2020 ,		3159
Wed Oct 28 07:03:13 AM CET 2020 ,		3159
Wed Oct 28 07:03:14 AM CET 2020 ,		3218
