Package                                    Size MiB  Build Seconds  Build Time
acct-group/dnsmasq                                0              0  -
acct-group/docker                                 0              0  -
acct-group/floppy                                 0              0  -
acct-group/input                                  0              0  -
acct-group/jobserver                              0              0  -
acct-group/kmem                                   0              0  -
acct-group/kvm                                    0              0  -
acct-group/lp                                     0              0  -
acct-group/lpadmin                                0              0  -
acct-group/mail                                   0              0  -
acct-group/man                                    0              0  -
acct-group/messagebus                             0              0  -
acct-group/named                                  0              0  -
acct-group/netdev                                 0              0  -
acct-group/ngrep                                  0              0  -
acct-group/ntp                                    0              0  -
acct-group/nullmail                               0              0  -
acct-group/pcap                                   0              0  -
acct-group/pipewire                               0              0  -
acct-group/plugdev                                0              0  -
acct-group/portage                                0              0  -
acct-group/render                                 0              0  -
acct-group/root                                   0              0  -
acct-group/sgx                                    0              0  -
acct-group/shadow                                 0              0  -
acct-group/sshd                                   0              0  -
acct-group/stapdev                                0              0  -
acct-group/stapsys                                0              0  -
acct-group/stapusr                                0              0  -
acct-group/tape                                   0              0  -
acct-group/tty                                    0              0  -
acct-group/usb                                    0              0  -
acct-group/utmp                                   0              0  -
acct-group/video                                  0              0  -
acct-user/dhcp                                    0              0  -
acct-user/dnsmasq                                 0              0  -
acct-user/mail                                    0              0  -
acct-user/man                                     0              0  -
acct-user/messagebus                              0              0  -
acct-user/named                                   0              0  -
acct-user/ngrep                                   0              0  -
acct-user/ntp                                     0              0  -
acct-user/nullmail                                0              0  -
acct-user/portage                                 0              0  -
acct-user/postmaster                              0              0  -
acct-user/sshd                                    0              0  -
acct-user/usbmux                                  0              0  -
app-admin/eselect                                 0              0  -
app-admin/metalog                                 0              0  -
app-admin/perl-cleaner                            0              0  -
app-alternatives/awk                              0              0  -
app-alternatives/bc                               0              0  -
app-alternatives/bzip2                            0              0  -
app-alternatives/cpio                             0              0  -
app-alternatives/gpg                              0              0  -
app-alternatives/gzip                             0              0  -
app-alternatives/lex                              0              0  -
app-alternatives/ninja                            0              0  -
app-alternatives/sh                               0              0  -
app-alternatives/tar                              0              0  -
app-alternatives/yacc                             0              0  -
app-arch/bzip2                                    0              0  -
app-arch/gzip                                     0              0  -
app-arch/ncompress                                0              0  -
app-arch/unzip                                    0              0  -
app-crypt/libb2                                   0              0  -
app-crypt/libmd                                   0              0  -
app-crypt/pinentry                                0              0  -
app-crypt/rhash                                   0              0  -
app-emacs/emacs-common                            0              0  -
app-eselect/eselect-ctags                         0              0  -
app-eselect/eselect-emacs                         0              0  -
app-eselect/eselect-fontconfig                    0              0  -
app-eselect/eselect-iptables                      0              0  -
app-eselect/eselect-lib-bin-symlink               0              0  -
app-eselect/eselect-lua                           0              0  -
app-eselect/eselect-mpg123                        0              0  -
